model,landscape,n_params
blstm,k0,541185
blstm,k1,534785
blstm,k2,541185
blstm,k3,541185
blstm,k4,2118145
blstm,k5,2118145
cnn,k0,208353
cnn,k1,180417
cnn,k2,291489
cnn,k3,180417
cnn,k4,255585
cnn,k5,30817
linear,k0,37
linear,k1,37
linear,k2,37
linear,k3,37
linear,k4,37
linear,k5,37
mlp,k0,2433
mlp,k1,70785
mlp,k2,17729
mlp,k3,42497
mlp,k4,15105
mlp,k5,4481
transformer,k0,265985
transformer,k1,42305
transformer,k2,100481
transformer,k3,265985
transformer,k4,42305
transformer,k5,100481
ulstm,k0,69761
ulstm,k1,270593
ulstm,k2,270593
ulstm,k3,201857
ulstm,k4,796929
ulstm,k5,18497
blstm,gb1,2188289
cnn,gb1,350113
linear,gb1,81
mlp,gb1,435713
transformer,gb1,267777
ulstm,gb1,1094145
